,counter_id,daily_range_high,daily_range_low,ticker,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time,name
242,3,678.99,675.45,FDHB,0,675.45,679.6,676.83,205261,4.73,0.7,1.59,63.07,47.95,4670824.98,74063,6901031250,8/28/2025,14:46:53,FDH BANK PLC
243,4,1650.01,1650,FMBCH,1650.01,0,1650,1650.01,3287,3.64,0.22,2.92,34.3,12.33,4056137.08,118254.74,2458250000,8/28/2025,14:46:53,FMB CAPITAL HOLDINGS PLC
244,5,17.95,17.95,ICON,0,17.95,17.95,17.95,22366,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,8/28/2025,14:46:53,ICON PROPERTIES PLC
245,6,1791.4,1791.4,ILLOVO,1791.38,1791.4,1791.38,1791.4,742,5,0.28,1.77,56.47,8.59,1278064.28,22632,713444391,8/28/2025,14:46:53,ILLOVO SUGAR MALAWI PLC
246,7,19.51,19.47,MPICO,19.51,0,19.48,19.51,3352565,0.43,2.2,19.05,5.25,0.69,44834.91,8540.17,2298047460,8/28/2025,14:46:53,MALAWI PROPERTY INVESTMENT COMPANY PLC
247,8,7500.01,6506.27,NBM,7501.01,0,6886.88,7495.05,1602,126.35,1.69,2.92,34.22,13.04,3499676.72,102283,466931738,8/28/2025,14:46:53,NATIONAL BANK OF MALAWI
248,9,1024.99,1024.94,NBS,930.06,1024.94,1024.99,1024.98,1049550,10.9,1.06,2.45,40.87,26.61,2983279.48,72991,2910573356,8/28/2025,14:46:53,NBS BANK PLC
249,10,1514.18,1514.18,NICO,1514.19,1740,1514.01,1514.18,80839,20,1.32,4.56,21.93,10.15,1579351.97,72009,1043041096,8/28/2025,14:46:53,NICO HOLDINGS PLC
250,11,,,NITL,1265.05,0,1265.04,1265.04,0,11.1,0.88,17.43,5.74,2.32,170780.4,29759.48,135000000,8/28/2025,14:46:53,NATIONAL INVESTMENT TRUST PLC
251,12,,,OMU,,,2500.06,2500.06,0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,8/28/2025,14:46:53,OLD MUTUAL LIMITED
252,13,,,PCL,6600,0,6600,6600,0,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,8/28/2025,14:46:53,PRESS CORPORATION PLC
253,14,6499.53,6499.1,STANDARD,0,6499.1,6499.91,6499.44,31297,161.93,2.49,1.13,88.3,29.36,7626058.19,86365,1173340810,8/28/2025,14:46:53,STANDARD BANK MALAWI PLC
254,15,460.01,460.01,SUNBIRD,460.01,0,460.01,460.01,3000,13,2.83,8.83,11.33,1.72,120330.6,10624.63,261582580,8/28/2025,14:46:53,SUNBIRD TOURISM PLC
255,16,35.95,35.67,TNM,0,35.67,39.09,35.9,53477,0,0,2.43,41.19,7.99,414329.09,10060,11541200375,8/28/2025,14:46:53,TELEKOM NETWORKS MALAWI PLC
256,1,139.2,139.2,AIRTEL,0,139.2,139.29,139.2,22032,2,1.44,2.79,35.84,47.68,1531200,42722.11,11000000000,8/27/2025,14:39:25,AIRTEL MALAWI PLC
257,2,15.01,15,BHL,15,0,15.06,15,2000000,0,0,-1.55,-64.36,1.36,88173.82,-1370.11,5878254935,8/27/2025,14:39:25,BLANTYRE HOTELS PLC
258,3,679.85,679,FDHB,0,679.81,679.86,679.6,114438,4.73,0.7,1.58,63.32,48.15,4689940.84,74063,6901031250,8/27/2025,14:39:25,FDH BANK PLC
259,4,1650,1650,FMBCH,1450.07,1650,1594.11,1650,30423,3.64,0.22,2.92,34.3,12.33,4056112.5,118254.74,2458250000,8/27/2025,14:39:25,FMB CAPITAL HOLDINGS PLC
260,5,17.95,17.95,ICON,0,17.95,17.95,17.95,5454,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,8/27/2025,14:39:25,ICON PROPERTIES PLC
261,6,1791.38,1791.37,ILLOVO,1791.38,0,1791.37,1791.38,338,5,0.28,1.77,56.47,8.59,1278050.01,22632,713444391,8/27/2025,14:39:25,ILLOVO SUGAR MALAWI PLC
262,7,19.48,19.48,MPICO,0,19.48,19.48,19.48,6988,0.43,2.21,19.08,5.24,0.69,44765.96,8540.17,2298047460,8/27/2025,14:39:25,MALAWI PROPERTY INVESTMENT COMPANY PLC
263,8,7400,6506.26,NBM,7400,0,6506.26,6886.88,6347,126.35,1.83,3.18,31.44,11.98,3215702.85,102283,466931738,8/27/2025,14:39:25,NATIONAL BANK OF MALAWI
264,9,1025,1024.98,NBS,930.06,1024.98,1025,1024.99,567177,10.9,1.06,2.45,40.87,26.61,2983308.58,72991,2910573356,8/27/2025,14:39:25,NBS BANK PLC
265,10,1514.01,1514,NICO,1514.01,0,1317.04,1514.01,13146,20,1.32,4.56,21.93,10.15,1579174.65,72009,1043041096,8/27/2025,14:39:25,NICO HOLDINGS PLC
266,11,,,NITL,1265.05,0,1265.04,1265.04,0,11.1,0.88,17.43,5.74,2.32,170780.4,29759.48,135000000,8/27/2025,14:39:25,NATIONAL INVESTMENT TRUST PLC
267,12,2500.06,2500.06,OMU,0,0,2500.06,2500.06,5395,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,8/27/2025,14:39:25,OLD MUTUAL LIMITED
268,13,,,PCL,6600,0,6600,6600,0,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,8/27/2025,14:39:25,PRESS CORPORATION PLC
269,14,6500,6499.55,STANDARD,0,6499.55,6499.99,6499.91,77764,161.93,2.49,1.13,88.31,29.36,7626609.66,86365,1173340810,8/27/2025,14:39:25,STANDARD BANK MALAWI PLC
270,15,,,SUNBIRD,460.01,0,460.01,460.01,0,13,2.83,8.83,11.33,1.72,120330.6,10624.63,261582580,8/27/2025,14:39:25,SUNBIRD TOURISM PLC
271,16,39.1,39.05,TNM,0,39.05,39.2,39.09,82718,0,0,2.23,44.85,8.7,451145.52,10060,11541200375,8/27/2025,14:39:25,TELEKOM NETWORKS MALAWI PLC
272,1,139.29,139.28,AIRTEL,0,139.29,139.32,139.29,41139,2,1.44,2.79,35.86,47.71,1532190,42722.11,11000000000,8/26/2025,14:48:11,AIRTEL MALAWI PLC
273,2,15.5,15,BHL,15,0,14.6,15.06,230793,0,0,-1.55,-64.61,1.36,88526.52,-1370.11,5878254935,8/26/2025,14:48:11,BLANTYRE HOTELS PLC
274,3,679.87,679,FDHB,0,679,679.92,679.86,64513,4.73,0.7,1.58,63.35,48.17,4691735.11,74063,6901031250,8/26/2025,14:48:11,FDH BANK PLC
275,4,1650,1450.08,FMBCH,1650,0,1450.07,1594.11,33522,3.64,0.23,3.02,33.14,11.91,3918720.91,118254.74,2458250000,8/26/2025,14:48:11,FMB CAPITAL HOLDINGS PLC
276,5,17.95,17.95,ICON,0,17.95,17.95,17.95,36820,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,8/26/2025,14:48:11,ICON PROPERTIES PLC
277,6,1791.37,1791.37,ILLOVO,0,1791.37,1791.36,1791.37,723,5,0.28,1.77,56.47,8.59,1278042.88,22632,713444391,8/26/2025,14:48:11,ILLOVO SUGAR MALAWI PLC
278,7,19.48,19.48,MPICO,0,19.48,19.48,19.48,87,0.43,2.21,19.08,5.24,0.69,44765.96,8540.17,2298047460,8/26/2025,14:48:11,MALAWI PROPERTY INVESTMENT COMPANY PLC
279,8,6506.27,6506.25,NBM,6506.26,0,6506.22,6506.26,26036,126.35,1.94,3.37,29.7,11.32,3037979.29,102283,466931738,8/26/2025,14:48:11,NATIONAL BANK OF MALAWI
280,9,1025,1024.99,NBS,1024.99,1025,1025,1025,113654,10.9,1.06,2.45,40.87,26.61,2983337.69,72991,2910573356,8/26/2025,14:48:11,NBS BANK PLC
281,10,1317.04,1317.04,NICO,1317.04,1514,1317.01,1317.04,889,20,1.52,5.24,19.08,8.83,1373726.85,72009,1043041096,8/26/2025,14:48:11,NICO HOLDINGS PLC
282,11,1265.04,1265.04,NITL,1265.04,0,1265.03,1265.04,50000,11.1,0.88,17.43,5.74,2.32,170780.4,29759.48,135000000,8/26/2025,14:48:11,NATIONAL INVESTMENT TRUST PLC
283,12,,,OMU,,,2500.06,2500.06,0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,8/26/2025,14:48:11,OLD MUTUAL LIMITED
284,13,6600,6600,PCL,6600,0,6600,6600,121174,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,8/26/2025,14:48:11,PRESS CORPORATION PLC
285,14,6500,6499.98,STANDARD,5800.01,6500,5721.01,6499.99,26960,161.93,2.49,1.13,88.31,29.36,7626703.53,86365,1173340810,8/26/2025,14:48:11,STANDARD BANK MALAWI PLC
286,15,,,SUNBIRD,460.01,0,460.01,460.01,0,13,2.83,8.83,11.33,1.72,120330.6,10624.63,261582580,8/26/2025,14:48:11,SUNBIRD TOURISM PLC
287,16,39.2,39.19,TNM,34.5,39.19,39.3,39.2,110287,0,0,2.22,44.97,8.72,452415.05,10060,11541200375,8/26/2025,14:48:11,TELEKOM NETWORKS MALAWI PLC
288,1,139.95,139.29,AIRTEL,0,139.29,139.95,139.32,21426,2,1.44,2.79,35.87,47.72,1532520,42722.11,11000000000,8/25/2025,14:53:53,AIRTEL MALAWI PLC
289,2,,,BHL,14.61,0,14.6,14.6,0,0,0,-1.6,-62.64,1.32,85822.52,-1370.11,5878254935,8/25/2025,14:53:53,BLANTYRE HOTELS PLC
290,3,679.99,679.87,FDHB,0,679.87,680.14,679.92,182298,4.73,0.7,1.58,63.35,48.17,4692149.17,74063,6901031250,8/25/2025,14:53:53,FDH BANK PLC
291,4,1450.07,1450.07,FMBCH,1450.07,0,1450.06,1450.07,490,3.64,0.25,3.32,30.14,10.83,3564634.58,118254.74,2458250000,8/25/2025,14:53:53,FMB CAPITAL HOLDINGS PLC
292,5,17.95,17.95,ICON,0,17.95,17.95,17.95,15427,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,8/25/2025,14:53:53,ICON PROPERTIES PLC
